name,year,highest_degree_offered,offers_bachelors_degree,offers_masters_degree,offers_doctors_degree_research_scholarship,offers_doctors_degree_professional_practice,applicants_total,admissions_total,enrolled_total,estimated_enrollment_total,tuition_and_fees_2013_14,total_price_for_in_state_students_living_on_campus_2013_14,total_price_for_out_of_state_students_living_on_campus_2013_14,state_abbreviation,control_of_institution,total_enrollment,full_time_enrollment,part_time_enrollment,undergraduate_enrollment,graduate_enrollment,full_time_undergraduate_enrollment,part_time_undergraduate_enrollment,percent_of_total_enrollment_that_are_women,percent_of_undergraduate_enrollment_that_are_women,percent_of_graduate_enrollment_that_are_women,graduation_rate_bachelor_degree_within_4_years_total,graduation_rate_bachelor_degree_within_5_years_total,graduation_rate_bachelor_degree_within_6_years_total
University of Mobile,2013,Master's degree,Yes,Yes,Implied no,Implied no,866.0,617.0,259.0,1610.0,18690.0,32570.0,32570.0,Alabama,Private not-for-profit,1610.0,1288.0,322.0,1481.0,129.0,1257.0,224.0,68.0,67.0,81.0,33.0,47.0,49.0
University of Montevallo,2013,Master's degree,Yes,Yes,Implied no,Implied no,1385.0,1209.0,531.0,3066.0,10000.0,23340.0,33030.0,Alabama,Public,3062.0,2526.0,536.0,2618.0,444.0,2350.0,268.0,67.0,66.0,75.0,24.0,39.0,45.0
University of North Alabama,2013,Master's degree,Yes,Yes,Implied no,Implied no,2542.0,2057.0,970.0,6931.0,7078.0,16933.0,22525.0,Alabama,Public,6931.0,5133.0,1798.0,5881.0,1050.0,4795.0,1086.0,58.0,57.0,61.0,12.0,27.0,32.0
Oakwood University,2013,Master's degree,Yes,Yes,Implied no,Implied no,2728.0,937.0,409.0,1905.0,16234.0,36295.0,36295.0,Alabama,Private not-for-profit,1903.0,1810.0,93.0,1861.0,42.0,1771.0,90.0,58.0,57.0,62.0,19.0,31.0,37.0
Samford University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,3447.0,2653.0,765.0,4833.0,26328.0,40900.0,40900.0,Alabama,Private not-for-profit,4833.0,4361.0,472.0,3013.0,1820.0,2850.0,163.0,62.0,65.0,57.0,49.0,64.0,69.0
University of South Alabama,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,4814.0,4142.0,1878.0,15065.0,6948.0,19980.0,26628.0,Alabama,Public,15065.0,12028.0,3037.0,11307.0,3758.0,8767.0,2540.0,61.0,57.0,76.0,14.0,27.0,33.0
Spring Hill College,2013,Master's degree,Yes,Yes,Implied no,Implied no,6596.0,3052.0,431.0,1449.0,30924.0,46170.0,46170.0,Alabama,Private not-for-profit,1422.0,1210.0,212.0,1292.0,130.0,1205.0,87.0,60.0,60.0,67.0,47.0,55.0,56.0
Stillman College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4121.0,1772.0,257.0,862.0,15901.0,26877.0,26877.0,Alabama,Private not-for-profit,863.0,808.0,55.0,863.0,,808.0,55.0,49.0,49.0,,17.0,23.0,26.0
Talladega College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,932.0,11492.0,21296.0,21296.0,Alabama,Private not-for-profit,932.0,849.0,83.0,932.0,,849.0,83.0,53.0,53.0,,82.0,82.0,82.0
Troy University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,5946.0,4056.0,2087.0,21098.0,7276.0,18228.0,24564.0,Alabama,Public,20573.0,10334.0,10239.0,16316.0,4257.0,9141.0,7175.0,64.0,62.0,70.0,13.0,29.0,36.0
Tuskegee University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,10022.0,3519.0,650.0,3065.0,18900.0,32853.0,32853.0,Alabama,Private not-for-profit,3118.0,2954.0,164.0,2584.0,534.0,2468.0,116.0,60.0,58.0,69.0,17.0,36.0,44.0
University of Alaska Anchorage,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,,,,17363.0,5147.0,18620.0,28679.0,Alaska,Public,17363.0,7904.0,9459.0,16380.0,983.0,7679.0,8701.0,59.0,59.0,67.0,9.0,19.0,28.0
University of Alaska Fairbanks,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,,,,9166.0,4984.0,16484.0,27060.0,Alaska,Public,9166.0,4283.0,4883.0,7989.0,1177.0,3654.0,4335.0,58.0,57.0,59.0,14.0,32.0,37.0
University of Alaska Southeast,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,2996.0,5693.0,18657.0,29233.0,Alaska,Public,2996.0,889.0,2107.0,2645.0,351.0,821.0,1824.0,65.0,64.0,73.0,4.0,10.0,12.0
Alaska Pacific University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,494.0,185.0,33.0,603.0,29810.0,43180.0,43180.0,Alaska,Private not-for-profit,669.0,323.0,346.0,387.0,282.0,245.0,142.0,65.0,66.0,63.0,25.0,33.0,40.0
American Indian College of the Assemblies of God Inc,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,80.0,12000.0,23342.0,23342.0,Arizona,Private not-for-profit,79.0,68.0,11.0,79.0,,68.0,11.0,57.0,57.0,,25.0,50.0,50.0
Arizona State University-Tempe,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,21770.0,17465.0,7171.0,48702.0,9861.0,23837.0,37630.0,Arizona,Public,48702.0,42498.0,6204.0,38730.0,9972.0,34989.0,3741.0,43.0,44.0,40.0,38.0,55.0,59.0
University of Arizona,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,26329.0,20251.0,7401.0,40621.0,10391.0,25179.0,42171.0,Arizona,Public,40621.0,35388.0,5233.0,31670.0,8951.0,28401.0,3269.0,52.0,52.0,51.0,40.0,58.0,61.0
Embry-Riddle Aeronautical University-Prescott,2013,Master's degree,Yes,Yes,Implied no,Implied no,1689.0,1334.0,448.0,1855.0,31034.0,46314.0,46314.0,Arizona,Private not-for-profit,1921.0,1786.0,135.0,1879.0,42.0,1753.0,126.0,21.0,21.0,24.0,37.0,56.0,59.0
Northern Arizona University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,33989.0,31057.0,4772.0,26606.0,9738.0,22746.0,35101.0,Arizona,Public,26594.0,20533.0,6061.0,22160.0,4434.0,18577.0,3583.0,59.0,58.0,67.0,30.0,45.0,49.0
Ottawa University-Phoenix,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,655.0,,,,Arizona,Private not-for-profit,653.0,6.0,647.0,345.0,308.0,2.0,343.0,73.0,69.0,77.0,,,
Prescott College,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,399.0,291.0,49.0,934.0,29732.0,41336.0,41336.0,Arizona,Private not-for-profit,943.0,572.0,371.0,545.0,398.0,444.0,101.0,65.0,55.0,77.0,23.0,35.0,38.0
Arizona Christian University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,344.0,209.0,90.0,635.0,21832.0,35382.0,35382.0,Arizona,Private not-for-profit,635.0,454.0,181.0,635.0,,454.0,181.0,50.0,50.0,,28.0,46.0,47.0
University of Arkansas at Little Rock,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,1443.0,761.0,667.0,12377.0,7094.0,23191.0,32968.0,Arkansas,Public,12377.0,6632.0,5745.0,9970.0,2407.0,5552.0,4418.0,59.0,59.0,63.0,7.0,16.0,21.0
Arkansas Baptist College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,1003.0,8040.0,21005.0,21005.0,Arkansas,Private not-for-profit,1027.0,867.0,160.0,1027.0,,867.0,160.0,37.0,37.0,,4.0,8.0,9.0
Lyon College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1309.0,772.0,174.0,592.0,23594.0,34154.0,34154.0,Arkansas,Private not-for-profit,592.0,562.0,30.0,592.0,,562.0,30.0,54.0,54.0,,43.0,45.0,50.0
University of Arkansas,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,18908.0,11076.0,4339.0,25341.0,7818.0,22212.0,33468.0,Arkansas,Public,25341.0,20379.0,4962.0,21009.0,4332.0,18565.0,2444.0,50.0,51.0,48.0,37.0,55.0,60.0
University of Arkansas at Pine Bluff,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4094.0,1134.0,568.0,2615.0,5938.0,16882.0,22582.0,Arkansas,Public,2615.0,2328.0,287.0,2521.0,94.0,2300.0,221.0,54.0,54.0,50.0,6.0,19.0,26.0
Arkansas State University-Main Campus,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,4838.0,3653.0,1619.0,13552.0,7510.0,20014.0,25624.0,Arkansas,Public,13552.0,8384.0,5168.0,10098.0,3454.0,7645.0,2453.0,60.0,58.0,68.0,19.0,31.0,36.0
Arkansas Tech University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3847.0,3271.0,1755.0,11385.0,5598.0,16086.0,20862.0,Arkansas,Public,11369.0,7283.0,4086.0,10482.0,887.0,7063.0,3419.0,56.0,54.0,70.0,21.0,36.0,41.0
University of Arkansas at Monticello,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,3896.0,5793.0,16427.0,22224.0,Arkansas,Public,3893.0,2546.0,1347.0,3706.0,187.0,2477.0,1229.0,59.0,58.0,67.0,10.0,20.0,22.0
University of Central Arkansas,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,3659.0,3292.0,2157.0,11534.0,7595.0,18596.0,24341.0,Arkansas,Public,11534.0,9045.0,2489.0,9754.0,1780.0,8285.0,1469.0,61.0,58.0,75.0,21.0,37.0,42.0
Central Baptist College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,540.0,292.0,129.0,827.0,13350.0,23224.0,23224.0,Arkansas,Private not-for-profit,827.0,650.0,177.0,827.0,,650.0,177.0,49.0,49.0,,19.0,38.0,38.0
Harding University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,2180.0,1663.0,1041.0,6238.0,16170.0,26634.0,26634.0,Arkansas,Private not-for-profit,6238.0,4820.0,1418.0,4428.0,1810.0,4105.0,323.0,57.0,54.0,66.0,40.0,59.0,62.0
Henderson State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3350.0,2084.0,704.0,3548.0,7580.0,18934.0,25054.0,Arkansas,Public,3583.0,2953.0,630.0,3199.0,384.0,2878.0,321.0,57.0,56.0,68.0,14.0,25.0,29.0
Hendrix College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1928.0,1550.0,436.0,1434.0,37816.0,52536.0,52536.0,Arkansas,Private not-for-profit,1444.0,1434.0,10.0,1431.0,13.0,1422.0,9.0,55.0,55.0,38.0,63.0,68.0,70.0
John Brown University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1143.0,798.0,305.0,2572.0,22734.0,34776.0,34776.0,Arkansas,Private not-for-profit,2596.0,1698.0,898.0,2080.0,516.0,1571.0,509.0,58.0,56.0,65.0,55.0,65.0,65.0
Ouachita Baptist University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1740.0,1220.0,394.0,1543.0,22370.0,32610.0,32610.0,Arkansas,Private not-for-profit,1543.0,1507.0,36.0,1543.0,,1507.0,36.0,53.0,53.0,,48.0,59.0,60.0
University of the Ozarks,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1061.0,651.0,159.0,585.0,24350.0,36379.0,36379.0,Arkansas,Private not-for-profit,585.0,571.0,14.0,585.0,,571.0,14.0,52.0,52.0,,34.0,47.0,48.0
Philander Smith College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,555.0,12564.0,24986.0,24986.0,Arkansas,Private not-for-profit,556.0,523.0,33.0,556.0,,523.0,33.0,66.0,66.0,,20.0,40.0,45.0
Williams Baptist College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,531.0,361.0,156.0,570.0,13750.0,23886.0,23886.0,Arkansas,Private not-for-profit,574.0,486.0,88.0,574.0,,486.0,88.0,62.0,62.0,,24.0,36.0,39.0
Southern Arkansas University Main Campus,2013,Master's degree,Yes,Yes,Implied no,Implied no,2720.0,1654.0,663.0,3404.0,7466.0,19438.0,22588.0,Arkansas,Public,3404.0,2561.0,843.0,2960.0,444.0,2497.0,463.0,59.0,58.0,64.0,14.0,24.0,30.0
University of Arkansas-Fort Smith,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,3905.0,2240.0,1343.0,7170.0,4528.0,16498.0,22042.0,Arkansas,Public,7170.0,5116.0,2054.0,7170.0,,5116.0,2054.0,56.0,56.0,,9.0,20.0,24.0
Azusa Pacific University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,5329.0,4255.0,1250.0,10092.0,32256.0,45996.0,45996.0,California,Private not-for-profit,10755.0,7783.0,2972.0,6543.0,4212.0,5683.0,860.0,66.0,64.0,70.0,47.0,63.0,65.0
Biola University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4816.0,3509.0,903.0,6323.0,32142.0,46624.0,46624.0,California,Private not-for-profit,6301.0,5107.0,1194.0,4331.0,1970.0,4184.0,147.0,53.0,62.0,34.0,49.0,64.0,68.0
California Institute of Integral Studies,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,,,,1278.0,,,,California,Private not-for-profit,1271.0,988.0,283.0,75.0,1196.0,68.0,7.0,73.0,73.0,73.0,,,
California Baptist University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3853.0,3036.0,993.0,7144.0,28122.0,42228.0,42228.0,California,Private not-for-profit,7144.0,5864.0,1280.0,5797.0,1347.0,5086.0,711.0,66.0,64.0,74.0,41.0,54.0,58.0
California Institute of Technology,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,5535.0,584.0,249.0,2213.0,41538.0,58755.0,58755.0,California,Private not-for-profit,2181.0,2181.0,,977.0,1204.0,977.0,,31.0,37.0,27.0,82.0,90.0,93.0
California Lutheran University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,6920.0,3323.0,540.0,4282.0,35720.0,52577.0,52577.0,California,Private not-for-profit,4282.0,3740.0,542.0,2888.0,1394.0,2717.0,171.0,56.0,55.0,60.0,61.0,69.0,70.0
California Polytechnic State University-San Luis Obispo,2013,Master's degree,Yes,Yes,Implied no,Implied no,36941.0,11537.0,3635.0,19693.0,8724.0,24285.0,35445.0,California,Public,19703.0,18775.0,928.0,18739.0,964.0,18058.0,681.0,45.0,45.0,47.0,29.0,61.0,70.0
Alliant International University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,128.0,63.0,28.0,3502.0,15816.0,29986.0,29986.0,California,Private not-for-profit,4201.0,2038.0,2163.0,917.0,3284.0,179.0,738.0,70.0,56.0,74.0,,,
California State University-Bakersfield,2013,Master's degree,Yes,Yes,Implied no,Implied no,6630.0,4393.0,1328.0,8371.0,6775.0,21186.0,32346.0,California,Public,8371.0,7190.0,1181.0,7350.0,1021.0,6519.0,831.0,61.0,61.0,67.0,15.0,32.0,39.0
California State University-Stanislaus,2013,Doctor's degree - other,Yes,Yes,Implied no,Implied no,5763.0,4158.0,1109.0,8529.0,6491.0,22433.0,33593.0,California,Public,8917.0,7256.0,1661.0,7754.0,1163.0,6547.0,1207.0,65.0,64.0,72.0,18.0,41.0,52.0
California State University-San Bernardino,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,12239.0,7137.0,2448.0,18398.0,6550.0,20377.0,31537.0,California,Public,18398.0,15213.0,3185.0,16191.0,2207.0,14299.0,1892.0,62.0,61.0,66.0,9.0,29.0,41.0
California State Polytechnic University-Pomona,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,28143.0,14686.0,3120.0,22501.0,6350.0,22571.0,33731.0,California,Public,22501.0,18995.0,3506.0,20952.0,1549.0,18410.0,2542.0,44.0,43.0,53.0,10.0,34.0,52.0
California State University-Chico,2013,Master's degree,Yes,Yes,Implied no,Implied no,17215.0,12327.0,2714.0,16360.0,6972.0,22362.0,33522.0,California,Public,16356.0,14960.0,1396.0,15290.0,1066.0,14207.0,1083.0,53.0,52.0,68.0,17.0,47.0,56.0
California State University-Dominguez Hills,2013,Master's degree,Yes,Yes,Implied no,Implied no,14742.0,8472.0,1214.0,14670.0,6100.0,21286.0,32446.0,California,Public,14670.0,9599.0,5071.0,12481.0,2189.0,8574.0,3907.0,66.0,64.0,75.0,4.0,16.0,29.0
California State University-Fresno,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,16242.0,9444.0,3139.0,23060.0,6287.0,20682.0,31842.0,California,Public,23060.0,19511.0,3549.0,20295.0,2765.0,17571.0,2724.0,58.0,57.0,66.0,14.0,36.0,49.0
California State University-Fullerton,2013,Doctor's degree - other,Yes,Yes,Implied no,Implied no,38909.0,17817.0,4526.0,38325.0,6186.0,23505.0,34665.0,California,Public,38325.0,29023.0,9302.0,33116.0,5209.0,26682.0,6434.0,56.0,55.0,60.0,14.0,40.0,53.0
California State University-East Bay,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,12741.0,8756.0,1572.0,14546.0,6550.0,22312.0,33472.0,California,Public,14526.0,11733.0,2793.0,12146.0,2380.0,10546.0,1600.0,61.0,61.0,62.0,11.0,30.0,38.0
California State University-Long Beach,2013,Doctor's degree - other,Yes,Yes,Implied no,Implied no,55019.0,16956.0,4276.0,35586.0,6240.0,22106.0,33266.0,California,Public,35586.0,28440.0,7146.0,30593.0,4993.0,25815.0,4778.0,57.0,57.0,61.0,14.0,43.0,60.0
California State University-Los Angeles,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,27321.0,18448.0,2908.0,23250.0,6344.0,21705.0,32865.0,California,Public,23258.0,18104.0,5154.0,19589.0,3669.0,16280.0,3309.0,59.0,59.0,62.0,7.0,22.0,36.0
California State University-Northridge,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,29339.0,13566.0,4149.0,38310.0,6525.0,21669.0,32829.0,California,Public,38310.0,30423.0,7887.0,33771.0,4539.0,28200.0,5571.0,56.0,55.0,63.0,13.0,35.0,46.0
California State University-Sacramento,2013,Doctor's degree - other,Yes,Yes,Implied no,Implied no,19702.0,13728.0,3151.0,28750.0,6628.0,23209.0,34369.0,California,Public,28811.0,22735.0,6076.0,26094.0,2717.0,21094.0,5000.0,57.0,57.0,65.0,8.0,30.0,43.0
University of California-Berkeley,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,61717.0,11108.0,4162.0,36103.0,12864.0,33319.0,56197.0,California,Public,36198.0,34675.0,1523.0,25951.0,10247.0,25220.0,731.0,50.0,52.0,45.0,72.0,89.0,91.0
University of California-Davis,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,49820.0,22526.0,5208.0,32165.0,13895.0,33066.0,55944.0,California,Public,33307.0,31986.0,1321.0,26533.0,6774.0,25826.0,707.0,55.0,56.0,51.0,51.0,77.0,81.0
University of California-Irvine,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,56515.0,23956.0,5077.0,28895.0,13149.0,30504.0,53382.0,California,Public,28895.0,28046.0,849.0,23530.0,5365.0,23127.0,403.0,52.0,54.0,43.0,68.0,84.0,86.0
University of California-Los Angeles,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,72676.0,15981.0,5620.0,41200.0,12697.0,32416.0,55294.0,California,Public,40795.0,39794.0,1001.0,28674.0,12121.0,28084.0,590.0,53.0,55.0,46.0,69.0,88.0,90.0
University of California-Riverside,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,30391.0,18843.0,4034.0,21297.0,12960.0,32238.0,55116.0,California,Public,21207.0,20653.0,554.0,18621.0,2586.0,18205.0,416.0,50.0,51.0,45.0,41.0,62.0,66.0
University of California-San Diego,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,60832.0,22812.0,4575.0,28398.0,13271.0,30470.0,53348.0,California,Public,29517.0,28606.0,911.0,23805.0,5712.0,23152.0,653.0,47.0,48.0,39.0,56.0,81.0,86.0
University of California-Santa Barbara,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,55258.0,24556.0,4741.0,21956.0,13746.0,34051.0,56929.0,California,Public,22225.0,21771.0,454.0,19362.0,2863.0,19076.0,286.0,51.0,52.0,44.0,68.0,79.0,81.0
University of California-Santa Cruz,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,33137.0,19851.0,3827.0,17040.0,13397.0,33153.0,56031.0,California,Public,17203.0,16755.0,448.0,15695.0,1508.0,15323.0,372.0,53.0,53.0,46.0,50.0,69.0,73.0
California Maritime Academy,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,893.0,668.0,198.0,1043.0,6536.0,21102.0,32262.0,California,Public,1045.0,1008.0,37.0,1045.0,,1008.0,37.0,14.0,14.0,,43.0,57.0,59.0
Chapman University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,11750.0,5253.0,1289.0,7892.0,43573.0,59459.0,59459.0,California,Private not-for-profit,7892.0,7071.0,821.0,6005.0,1887.0,5753.0,252.0,59.0,59.0,58.0,59.0,73.0,76.0
Concordia University-Irvine,2013,Master's degree,Yes,Yes,Implied no,Implied no,2055.0,1874.0,373.0,4046.0,29630.0,43550.0,43550.0,California,Private not-for-profit,4046.0,3345.0,701.0,1944.0,2102.0,1746.0,198.0,57.0,62.0,53.0,54.0,61.0,63.0
San Diego Christian College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,561.0,276.0,99.0,936.0,25888.0,40252.0,40252.0,California,Private not-for-profit,914.0,817.0,97.0,892.0,22.0,795.0,97.0,53.0,53.0,68.0,31.0,39.0,41.0
Claremont Graduate University,2013,Doctor's degree - research/scholarship,Implied no,Yes,Yes,Implied no,,,,2205.0,,,,California,Private not-for-profit,2204.0,1532.0,672.0,,2204.0,,,53.0,,53.0,,,
Claremont McKenna College,2013,Master's degree,Yes,Yes,Implied no,Implied no,5518.0,647.0,337.0,1323.0,45625.0,62010.0,62010.0,California,Private not-for-profit,1328.0,1324.0,4.0,1316.0,12.0,1312.0,4.0,48.0,48.0,33.0,84.0,91.0,93.0
